,camis,std_dba,building,street,boro,cuisine,insp_type,ts,grade,score,lat,long,county,year,tt_a,tt_b,tt_c
10939,41436831,GREEK EXPRESS,3733,Riverdale Avenue,Bronx,Greek,Cycle Inspection / Re-inspection,2023-01-04,B,22.0,40.887580354978,-73.907272067544,Bronx,2023,,B,
10943,41436874,THE CROSBY STREET HOTEL,79,Crosby Street,Manhattan,American,Cycle Inspection / Re-inspection,2022-09-28,A,13.0,40.722946705295,-73.997719930108,New York,2022,A,,
10946,41436878,CASA LEVER,390,Park Avenue,Manhattan,Italian,Cycle Inspection / Re-inspection,2019-10-11,A,11.0,40.759413063897,-73.972360616364,New York,2019,A,,
10948,41437033,KINGS PIZZA,1688,East 16 Street,Brooklyn,Pizza,Cycle Inspection / Re-inspection,2022-04-01,A,9.0,40.608629779839,-73.95732217607,Kings,2022,A,,
10950,41437135,SUNNYSIDE PIZZA,4001,Queens Boulevard,Queens,Pizza,Cycle Inspection / Re-inspection,2019-06-05,A,9.0,40.743792823972,-73.92411693894,Queens,2019,A,,
10954,41437528,BENNYS BRICK OVEN,1802,Avenue M,Brooklyn,Jewish/Kosher,Cycle Inspection / Re-inspection,2022-11-14,A,5.0,40.618321526405,-73.957078221647,Kings,2022,A,,
10955,41437865,HENRY PUBLIC,329,Henry Street,Brooklyn,American,Cycle Inspection / Re-inspection,2022-05-24,A,13.0,40.690363504032,-73.996408487991,Kings,2022,A,,
10958,41439298,MOON HOUSE CHINESE RESTAURANT,1810,3 Avenue,Manhattan,Chinese/Japanese,Cycle Inspection / Re-inspection,2022-08-02,A,0.0,40.788040307017,-73.947257743984,New York,2022,A,,
10962,41439621,HAMPTON INN,320,Pearl Street,Manhattan,American,Cycle Inspection / Re-inspection,2022-11-16,B,19.0,40.709014261088,-74.002272377595,New York,2022,,B,
10968,41439739,NEW DOUBLE CHINESE RESTAURANT,6110,Myrtle Avenue,Queens,Chinese,Cycle Inspection / Re-inspection,2022-11-14,C,47.0,40.700848779202,-73.893763153789,Queens,2022,,,C
10976,41439796,GRAND SLAM BANQUET HALL,478,East Tremont Avenue,Bronx,American,Cycle Inspection / Re-inspection,2018-06-15,A,13.0,40.84694475829,-73.897707242945,Bronx,2018,A,,
10980,41439805,COLBEH,32,West 39 Street,Manhattan,Jewish/Kosher,Cycle Inspection / Re-inspection,2019-07-24,A,10.0,40.752064735112,-73.983465849003,New York,2019,A,,
