,camis,std_dba,building,street,boro,cuisine,insp_type,ts,grade,score,lat,long,county,year,tt_a,tt_b,tt_c
0,30112340,WENDYS,469,Flatbush Avenue,Brooklyn,Hamburgers,Cycle Inspection / Re-inspection,2021-08-05,B,16.0,40.662651518808,-73.962081374927,Kings,2021,,B,
5,40356483,WILKENS FINE FOOD,7114,Avenue U,Brooklyn,Sandwiches,Cycle Inspection / Re-inspection,2022-08-19,A,2.0,40.620111590927,-73.906989489698,Kings,2022,A,,
6,40360076,CARVEL,203,Church Avenue,Brooklyn,Frozen Desserts,Cycle Inspection / Re-inspection,2019-05-29,A,12.0,40.643329721911,-73.978188715503,Kings,2019,A,,
9,40361618,SALS DELI,12908,20 Avenue,Queens,Sandwiches,Cycle Inspection / Re-inspection,2022-02-01,A,5.0,40.781673836068,-73.839415976831,Queens,2022,A,,
10,40362264,P S DELI GROCERY,730,Columbus Avenue,Manhattan,American,Cycle Inspection / Re-inspection,2022-08-16,A,12.0,40.792620635885,-73.96770961573,New York,2022,A,,
13,40363298,CAFE METRO,625,8 Avenue,Manhattan,American,Cycle Inspection / Re-inspection,2022-09-02,A,2.0,40.756185423077,-73.990564733785,New York,2022,A,,
16,40363427,BAGELS N BUNS,2491,Victory Boulevard,Staten Island,Sandwiches,Cycle Inspection / Re-inspection,2021-11-29,B,18.0,40.610267863828,-74.146401210286,Richmond,2021,,B,
19,40363834,CARVEL,1111,Hylan Boulevard,Staten Island,Frozen Desserts,Cycle Inspection / Re-inspection,2022-03-02,A,10.0,40.598553130746,-74.079646008177,Richmond,2022,A,,
29,40364296,HAPPY GARDEN,277,East Kingsbridge Road,Bronx,Chinese,Cycle Inspection / Re-inspection,2020-02-03,A,2.0,40.863648812188,-73.894239617341,Bronx,2020,A,,
30,40364305,PHILADELPHIA GRILLE EXPRESS,10004,4 Avenue,Brooklyn,Pizza,Cycle Inspection / Re-inspection,2023-01-23,A,3.0,40.612722489797,-74.033751771822,Kings,2023,A,,
33,40364389,OLD TOWN BAR RESTAURANT,45,East 18 Street,Manhattan,American,Cycle Inspection / Re-inspection,2019-12-09,A,9.0,40.73759507351,-73.989647208522,New York,2019,A,,
35,40364404,POLISH NATIONAL HOME,261,Driggs Avenue,Brooklyn,Polish,Cycle Inspection / Re-inspection,2018-04-06,A,10.0,40.722622173128,-73.948301829523,Kings,2018,A,,
36,40364439,SEVILLA RESTAURANT,62,Charles Street,Manhattan,Latin American,Cycle Inspection / Re-inspection,2022-05-18,B,19.0,40.734908378121,-74.00297328507,New York,2022,,B,
45,40364443,CRIMINAL COURT BLDG CAFETERIA,100,Centre Street,Manhattan,American,Cycle Inspection / Re-inspection,2022-12-02,B,18.0,40.71607656565,-74.001424896229,New York,2022,,B,
52,40364467,NYAC MAIN DINING ROOM,180,Central Park South,Manhattan,American,Cycle Inspection / Re-inspection,2020-01-07,C,37.0,40.766718222992,-73.978736594767,New York,2020,,,C
55,40364518,7B BAR,108,Avenue B,Manhattan,American,Cycle Inspection / Re-inspection,2022-09-28,A,10.0,40.724984562415,-73.981282649047,New York,2022,A,,
58,40364531,CAFE ATELIER ART STUDENTS LEAGUE,215,West 57 Street,Manhattan,American,Cycle Inspection / Re-inspection,2016-11-25,A,9.0,40.765886941316,-73.980895665472,New York,2016,A,,
64,40364668,MARCHIS RESTAURANT,251,East 31 Street,Manhattan,Italian,Cycle Inspection / Re-inspection,2018-09-29,A,12.0,40.743332794963,-73.978336291181,New York,2018,A,,
72,40364715,OLD HOMESTEAD,56,9 Avenue,Manhattan,American,Cycle Inspection / Re-inspection,2018-03-26,A,12.0,40.741372224356,-74.005037755098,New York,2018,A,,
74,40364744,NEW PARK PIZZERIA RESTAURANT,156-71,Crossbay Boulevard,Queens,Pizza,Cycle Inspection / Re-inspection,2019-12-04,A,8.0,40.663101703308,-73.840837932811,Queens,2019,A,,
76,40365013,CRYSTAL ROOM,67,Olympia Boulevard,Staten Island,Italian,Cycle Inspection / Re-inspection,2019-08-14,A,5.0,40.592814177678,-74.070677121271,Richmond,2019,A,,
77,40365166,CORNER BISTRO,331,West 4 Street,Manhattan,American,Cycle Inspection / Re-inspection,2019-08-20,A,9.0,40.737924847314,-74.003861116033,New York,2019,A,,
80,40365226,NOSTRAND DONUT SHOP,1449,Nostrand Avenue,Brooklyn,Donuts,Cycle Inspection / Re-inspection,2021-12-01,A,9.0,40.650975896814,-73.949579249402,Kings,2021,A,,
82,40365239,DORRIANS RED HAND RESTAURANT,1616,2 Avenue,Manhattan,Irish,Cycle Inspection / Re-inspection,2019-12-19,A,9.0,40.776404966262,-73.952802065662,New York,2019,A,,
84,40365264,LA GRENOUILLE,3,East 52 Street,Manhattan,French,Cycle Inspection / Re-inspection,2019-06-06,A,8.0,40.759658161533,-73.975977435444,New York,2019,A,,
88,40365499,YANKEE TAVERN,72,East 161 Street,Bronx,American,Cycle Inspection / Re-inspection,2019-11-25,B,21.0,40.827557861039,-73.925141196877,Bronx,2019,,B,
93,40365525,DONUT PUB,203,West 14 Street,Manhattan,Donuts,Cycle Inspection / Re-inspection,2022-06-23,B,26.0,40.738748341271,-74.000144342577,New York,2022,,B,
105,40365546,REBEN LUNCHEONETTE,229,Havemeyer Street,Brooklyn,American,Cycle Inspection / Re-inspection,2023-01-11,B,21.0,40.709039945161,-73.959151290226,Kings,2023,,B,
112,40365577,V T RESTAURANT,1024,Amsterdam Avenue,Manhattan,Italian,Cycle Inspection / Re-inspection,2020-03-10,A,13.0,40.803329420525,-73.963611914951,New York,2020,A,,
117,40365627,JAHNS RESTAURANT,81-04,37 Avenue,Queens,American,Cycle Inspection / Re-inspection,2022-02-28,B,19.0,40.74965336582,-73.885073567329,Queens,2022,,B,
121,40365632,J V FAMOUS PIZZA,6322,18 Avenue,Brooklyn,Pizza,Cycle Inspection / Re-inspection,2022-08-30,A,12.0,40.619956732515,-73.989352140632,Kings,2022,A,,
123,40365644,JOE ALLEN RESTAURANT,326,West 46 Street,Manhattan,American,Cycle Inspection / Re-inspection,2022-09-20,A,12.0,40.760178896668,-73.988882031739,New York,2022,A,,
131,40365784,GARGIULOS RESTAURANT,2911,West 15 Street,Brooklyn,Italian,Cycle Inspection / Re-inspection,2022-02-02,A,10.0,40.576555331866,-73.982584323148,Kings,2022,A,,
133,40365789,PATSYS ITALIAN RESTAURANT,236,West 56 Street,Manhattan,Italian,Cycle Inspection / Re-inspection,2022-12-28,B,18.0,40.765618195284,-73.98239751366,New York,2022,,B,
136,40365871,NEARYS PUB,358,East 57 Street,Manhattan,American,Cycle Inspection / Re-inspection,2022-02-01,A,13.0,40.758639389205,-73.963748322244,New York,2022,A,,
145,40365904,MEE SUM CAFE,26,Pell Street,Manhattan,Coffee/Tea,Cycle Inspection / Re-inspection,2022-09-30,C,59.0,40.714860627928,-73.998199974185,New York,2022,,,C
162,40365942,HOP KEE RESTAURANT,21,Mott Street,Manhattan,Chinese,Cycle Inspection / Re-inspection,2023-02-28,A,12.0,40.71436383248,-73.998784360399,New York,2023,A,,
164,40365968,NANCY WHISKEY PUB,1,Lispenard Street,Manhattan,American,Cycle Inspection / Re-inspection,2022-09-28,A,10.0,40.720539457665,-74.005010921281,New York,2022,A,,
166,40366002,MARGHERITA PIZZA,16304,Jamaica Avenue,Queens,Pizza,Cycle Inspection / Re-inspection,2022-01-28,A,9.0,40.704667713048,-73.796822882442,Queens,2022,A,,
168,40366132,DENINOS PIZZERIA TAVERN,524,Port Richmond Avenue,Staten Island,Pizza,Cycle Inspection / Re-inspection,2022-02-28,A,13.0,40.630024412021,-74.140168869243,Richmond,2022,A,,
171,40366154,MICHAELS RESTAURANT,2929,Avenue R,Brooklyn,Italian,Cycle Inspection / Re-inspection,2020-01-07,B,14.0,40.607418586159,-73.943003631919,Kings,2020,,B,
174,40366230,DON PEPPE,13558,Lefferts Boulevard,Queens,Italian,Cycle Inspection / Re-inspection,2022-11-22,C,35.0,40.670258237563,-73.820976082388,Queens,2022,,,C
181,40366356,BLARNEY CASTLE,20224,Rockaway Point Boulevard,Queens,American,Cycle Inspection / Re-inspection,2019-08-01,B,17.0,40.560775789189,-73.911783397474,Queens,2019,,B,
184,40366487,BRENNAN CARR,3432,Nostrand Avenue,Brooklyn,American,Cycle Inspection / Re-inspection,2020-02-11,A,2.0,40.600385883899,-73.94189333042,Kings,2020,A,,
185,40366497,THE PUNCH BOWL,5820,Broadway,Bronx,American,Cycle Inspection / Re-inspection,2019-02-07,A,11.0,40.885206062282,-73.900573930546,Bronx,2019,A,,
195,40366543,JARDIN DE CHINA REST,3737,Junction Boulevard,Queens,Chinese,Cycle Inspection / Re-inspection,2022-07-20,A,12.0,40.750754804569,-73.870360475566,Queens,2022,A,,
198,40366586,SHIMONS KOSHER PIZZA,71-24,Main Street,Queens,Jewish/Kosher,Cycle Inspection / Re-inspection,2022-09-29,A,0.0,40.727181176223,-73.822096177766,Queens,2022,A,,
208,40366661,BABY BOS CANTINA,627,2 Avenue,Manhattan,Tex-Mex,Cycle Inspection / Re-inspection,2022-06-13,B,27.0,40.744979132961,-73.975740952272,New York,2022,,B,
216,40366711,LI GRECIS STAATEN RESTAURANT,697,Forest Avenue,Staten Island,American,Cycle Inspection / Re-inspection,2022-10-13,B,22.0,40.629475941557,-74.11233734162,Richmond,2022,,B,
222,40366716,SHUN LEE PALACE RESTAURANT,155,East 55 Street,Manhattan,Chinese,Cycle Inspection / Re-inspection,2022-03-29,A,12.0,40.759376653074,-73.96948371139,New York,2022,A,,
224,40366742,TAMAQUA,84,Ebony Court,Brooklyn,Bottled Beverages,Cycle Inspection / Re-inspection,2020-01-07,C,30.0,40.59435177089,-73.930156614832,Kings,2020,,,C
231,40366812,CARA MIA,22020,Hillside Avenue,Queens,Italian,Cycle Inspection / Re-inspection,2019-11-07,A,10.0,40.730704335939,-73.743266950975,Queens,2019,A,,
234,40366879,LA FUSTA RESTAURANT,80-32,Baxter Avenue,Queens,Latin American,Cycle Inspection / Re-inspection,2021-08-11,A,12.0,40.744706795371,-73.884569670655,Queens,2021,A,,
242,40366938,LULUS COFFEE SHOP,1191,Castle Hill Avenue,Bronx,Coffee/Tea,Cycle Inspection / Re-inspection,2022-02-03,B,26.0,40.831707036899,-73.850999305895,Bronx,2022,,B,
248,40367005,DA VINCI PIZZA,6514,18 Avenue,Brooklyn,Pizza,Cycle Inspection / Re-inspection,2022-11-28,A,13.0,40.61897967707,-73.990342864857,Kings,2022,A,,
254,40367038,MEXICO LINDO RESTAURANT,459,2 Avenue,Manhattan,Mexican,Cycle Inspection / Re-inspection,2022-03-02,A,12.0,40.739644067898,-73.979614944263,New York,2022,A,,
256,40367179,TWINS PUB,421,9 Avenue,Manhattan,Irish,Cycle Inspection / Re-inspection,2022-02-28,A,12.0,40.753053988387,-73.996556687381,New York,2022,A,,
259,40367189,BROOME STREET BAR,363,West Broadway,Manhattan,American,Cycle Inspection / Re-inspection,2021-08-26,A,9.0,40.723116860955,-74.003124280993,New York,2021,A,,
264,40367241,JG MELON RESTAURANT,1291,3 Avenue,Manhattan,American,Cycle Inspection / Re-inspection,2020-02-27,A,7.0,40.771192500921,-73.959531818288,New York,2020,A,,
266,40367338,TAP ROOM GRAB GO,180,Central Park South,Manhattan,American,Cycle Inspection / Re-inspection,2020-02-27,A,9.0,40.766718222992,-73.978736594767,New York,2020,A,,
269,40367339,COCKTAIL ROOM NYAC,180,Central Park South,Manhattan,American,Cycle Inspection / Re-inspection,2019-11-08,A,7.0,40.766718222992,-73.978736594767,New York,2019,A,,
270,40367365,THE FLAME DINER,893,9 Avenue,Manhattan,American,Cycle Inspection / Re-inspection,2022-07-21,A,8.0,40.768431984928,-73.9853426732,New York,2022,A,,
272,40367373,JACKSON HOLE,232,East 64 Street,Manhattan,Hamburgers,Cycle Inspection / Re-inspection,2020-03-16,A,2.0,40.764309967429,-73.963456427466,New York,2020,A,,
273,40367377,ZUM STAMMTISCH,6946,Myrtle Avenue,Queens,German,Cycle Inspection / Re-inspection,2020-03-12,A,2.0,40.70186889553,-73.881596583326,Queens,2020,A,,
276,40367442,BUDDYS WONDER BAR,17,Harrison Avenue,Staten Island,American,Cycle Inspection / Re-inspection,2020-02-12,A,9.0,40.636755420817,-74.134937047229,Richmond,2020,A,,
279,40367534,MR BROADWAY KOSHER RESTAURANT,1372,Broadway,Manhattan,Jewish/Kosher,Cycle Inspection / Re-inspection,2020-03-09,A,9.0,40.752262863231,-73.98745407546,New York,2020,A,,
281,40367752,GRIFFIS FACULTY CLUB,521,East 68 Street,Manhattan,American,Cycle Inspection / Re-inspection,2019-06-17,A,12.0,40.764156112386,-73.955283592822,New York,2019,A,,
284,40367790,MCDONALDS,943,Flatbush Avenue,Brooklyn,Hamburgers,Cycle Inspection / Re-inspection,2022-09-21,A,11.0,40.648723192538,-73.958298253196,Kings,2022,A,,
287,40367841,CAFE FIORELLO,1900,Broadway,Manhattan,Italian,Cycle Inspection / Re-inspection,2020-03-10,A,13.0,40.771511149198,-73.982150446461,New York,2020,A,,
290,40367860,L B SPUMONI GARDENS,2725,86 Street,Brooklyn,Pizza,Cycle Inspection / Re-inspection,2019-12-11,B,22.0,40.594393518287,-73.981359004171,Kings,2019,,B,
294,40367870,AMORE PIZZERIA RESTAURANT,3027,Stratton Street,Queens,Pizza,Cycle Inspection / Re-inspection,2021-10-25,A,7.0,40.769658810731,-73.834693968308,Queens,2021,A,,
295,40368207,MILL BASIN KOSHER DELI,5823,Avenue T,Brooklyn,Jewish/Kosher,Cycle Inspection / Re-inspection,2022-03-04,A,12.0,40.615314177459,-73.918410519092,Kings,2022,A,,
298,40368223,OYSTER BAR,0,Grand Central Terminal,Manhattan,Seafood,Cycle Inspection / Re-inspection,2022-09-27,A,10.0,40.752513822619,-73.977304639681,New York,2022,A,,
300,40368271,CHERRY TAVERN,441,East 6 Street,Manhattan,Bottled Beverages,Cycle Inspection / Re-inspection,2019-11-01,A,9.0,40.72599520843,-73.985196904415,New York,2019,A,,
304,40368291,COLONNADE DINER,2001,Hylan Boulevard,Staten Island,American,Cycle Inspection / Re-inspection,2023-03-01,A,8.0,40.581163905657,-74.098543291202,Richmond,2023,A,,
306,40368374,JIMMYS CORNER,140,West 44 Street,Manhattan,American,Cycle Inspection / Re-inspection,2022-08-24,A,0.0,40.756612923674,-73.984331004337,New York,2022,A,,
309,40368555,IL CORTILE RESTAURANT,123,Mulberry Street,Manhattan,Italian,Cycle Inspection / Re-inspection,2019-10-04,B,27.0,40.717890850638,-73.99810609883,New York,2019,,B,
314,40368632,NEW PARKWAY RESTAURANT,7504,13 Avenue,Brooklyn,American,Cycle Inspection / Re-inspection,2022-02-01,A,9.0,40.620195775133,-74.00754646331,Kings,2022,A,,
319,40368801,MARBELLA RESTAURANT,22033,Northern Boulevard,Queens,Latin American,Cycle Inspection / Re-inspection,2023-01-03,A,7.0,40.761601625705,-73.760759718274,Queens,2023,A,,
321,40368809,P J S,18925,Union Turnpike,Queens,American,Cycle Inspection / Re-inspection,2020-03-14,A,12.0,40.729537226386,-73.779969217943,Queens,2020,A,,
325,40369012,VALENTINOS PIZZA,7147,Kissena Boulevard,Queens,Pizza,Cycle Inspection / Re-inspection,2022-08-31,A,0.0,40.728528733563,-73.815074973898,Queens,2022,A,,
329,40369016,VIAND COFFEE SHOP,673,Madison Avenue,Manhattan,Greek,Cycle Inspection / Re-inspection,2022-09-19,A,8.0,40.764789486445,-73.970131018321,New York,2022,A,,
337,40369087,BLUE BAY RESTAURANT,3533,Johnson Avenue,Bronx,American,Cycle Inspection / Re-inspection,2019-10-09,A,7.0,40.886028908603,-73.909870952705,Bronx,2019,A,,
338,40369213,WHITESTONE LANES,3005,Whitestone Expressway,Queens,American,Cycle Inspection / Re-inspection,2020-02-18,B,23.0,40.770708647549,-73.833720179111,Queens,2020,,B,
345,40369299,SEASHORE RESTAURANT,591,City Island Avenue,Bronx,Seafood,Cycle Inspection / Re-inspection,2022-06-01,A,12.0,40.854116926666,-73.790573593575,Bronx,2022,A,,
348,40369418,CAFFE REGGIO,119,Mac Dougal Street,Manhattan,Italian,Cycle Inspection / Re-inspection,2022-01-24,A,7.0,40.730206634013,-74.000317512808,New York,2022,A,,
350,40369461,CAFE UN DEUX TROIS,123,West 44 Street,Manhattan,French,Cycle Inspection / Re-inspection,2022-05-05,C,28.0,40.756483871142,-73.98397730097,New York,2022,,,C
356,40369521,KNICKERBOCKER BAR GRILL,33,University Place,Manhattan,American,Cycle Inspection / Re-inspection,2022-08-24,A,11.0,40.731968639466,-73.994450594757,New York,2022,A,,
359,40369667,WHITE CASTLE,846,Empire Boulevard,Brooklyn,Hamburgers,Cycle Inspection / Re-inspection,2021-11-30,A,9.0,40.66349139936,-73.932264652274,Kings,2021,A,,
362,40369675,WHITE CASTLE,4302,Queens Boulevard,Queens,Hamburgers,Cycle Inspection / Re-inspection,2022-08-29,A,4.0,40.743450594604,-73.921327711204,Queens,2022,A,,
363,40369849,GINOS PIZZERIA,61-32,Springfield Boulevard,Queens,Pizza,Cycle Inspection / Re-inspection,2022-11-09,A,12.0,40.748785698854,-73.756561590589,Queens,2022,A,,
368,40369878,VILLA MOSCONI RESTAURANT,69,Macdougal Street,Manhattan,Italian,Cycle Inspection / Re-inspection,2022-03-01,A,13.0,40.72853780392,-74.001731844504,New York,2022,A,,
371,40370150,JOHN MULLIGANS FIRESIDE PUB,4272,Katonah Avenue,Bronx,American,Cycle Inspection / Re-inspection,2019-06-12,A,11.0,40.89778438017,-73.867218605002,Bronx,2019,A,,
373,40370167,BURGER KING,222-10,Northern Boulevard,Queens,Hamburgers,Cycle Inspection / Re-inspection,2019-10-31,A,12.0,40.761859115241,-73.7591993411,Queens,2019,A,,
376,40370238,BURGER KING,68-15,Northern Boulevard,Queens,Hamburgers,Cycle Inspection / Re-inspection,2022-07-25,A,0.0,40.754251920542,-73.89781764958,Queens,2022,A,,
381,40370463,THREE GUYS RESTAURANT,960,Madison Avenue,Manhattan,American,Cycle Inspection / Re-inspection,2022-01-26,A,13.0,40.773974376779,-73.963841035522,New York,2022,A,,
384,40370507,THE PLAYERS,16,Gramercy Park South,Manhattan,American,Cycle Inspection / Re-inspection,2023-01-17,A,12.0,40.737775898673,-73.986482515651,New York,2023,A,,
388,40370766,SMITH WOLLENSKY,201,East 49 Street,Manhattan,American,Cycle Inspection / Re-inspection,2019-12-30,A,8.0,40.755051274002,-73.970875339288,New York,2019,A,,
389,40370781,MCDONALDS,160-11,Willets Point Boulevard,Queens,Hamburgers,Cycle Inspection / Re-inspection,2019-02-26,A,13.0,40.7806191184,-73.802039011533,Queens,2019,A,,
400,40371614,LA BARAKA RESTAURANT,255-09,Northern Boulevard,Queens,French,Cycle Inspection / Re-inspection,2020-02-11,A,12.0,40.7720339863,-73.734326533439,Queens,2020,A,,
403,40371727,LA PALINA RESTAURANT,159,Avenue O,Brooklyn,Italian,Cycle Inspection / Re-inspection,2021-12-22,C,50.0,40.610776716763,-73.978869293745,Kings,2021,,,C
409,40371988,NORTH SHORE DINER,19652,Northern Boulevard,Queens,American,Cycle Inspection / Re-inspection,2022-09-06,A,11.0,40.757847279125,-73.784564229619,Queens,2022,A,,
412,40372357,MARINA CAFE,154,Mansion Avenue,Staten Island,Italian,Cycle Inspection / Re-inspection,2023-01-23,A,7.0,40.544300925933,-74.140905861928,Richmond,2023,A,,
414,40372426,DAZIES RESTAURANT,3941,Queens Boulevard,Queens,Italian,Cycle Inspection / Re-inspection,2019-06-26,A,12.0,40.743883909288,-73.924889127627,Queens,2019,A,,
416,40372445,OMONIA CAFE,3220,Broadway,Queens,Greek,Cycle Inspection / Re-inspection,2022-02-28,B,22.0,40.761477481586,-73.924360228878,Queens,2022,,B,
420,40372596,TROPICAL HOUSE BAKING CO,267,Schenectady Avenue,Brooklyn,Bakery Products/Desserts,Cycle Inspection / Re-inspection,2022-09-09,A,7.0,40.669434759348,-73.933830286475,Kings,2022,A,,
421,40372618,BURGER KING,154-05,Rockaway Boulevard,Queens,Hamburgers,Cycle Inspection / Re-inspection,2022-09-20,A,11.0,40.667935318774,-73.780984279643,Queens,2022,A,,
426,40372631,YANKEE JZ PIZZA,1599,Westchester Avenue,Bronx,Pizza,Cycle Inspection / Re-inspection,2019-11-04,A,7.0,40.829178325164,-73.87570682252,Bronx,2019,A,,
427,40373113,ASTRO RESTAURANT,101,West 55 Street,Manhattan,American,Cycle Inspection / Re-inspection,2022-03-01,A,13.0,40.76313625147,-73.978398412976,New York,2022,A,,
430,40373500,VICTORS CAFE,236,West 52 Street,Manhattan,Latin American,Cycle Inspection / Re-inspection,2019-04-02,A,4.0,40.762961484036,-73.983853000701,New York,2019,A,,
432,40373597,PETES PIZZERIA RESTAURANT,7522,3 Avenue,Brooklyn,Pizza,Cycle Inspection / Re-inspection,2019-11-21,A,7.0,40.631240382668,-74.027888724775,Kings,2019,A,,
433,40373656,KEENS STEAKHOUSE,72,West 36 Street,Manhattan,Steakhouse,Cycle Inspection / Re-inspection,2023-01-15,A,10.0,40.750753089864,-73.986108122854,New York,2023,A,,
434,40373888,IL MULINO,86,West 3 Street,Manhattan,Italian,Cycle Inspection / Re-inspection,2019-09-03,A,8.0,40.729844320711,-73.998960872846,New York,2019,A,,
439,40373937,SHUN LEE,37,West 65 Street,Manhattan,Chinese,Cycle Inspection / Re-inspection,2022-12-02,A,9.0,40.772273899388,-73.980363099092,New York,2022,A,,
442,40374088,PONGSRI THAI RESTAURANT,244,West 48 Street,Manhattan,Thai,Cycle Inspection / Re-inspection,2019-09-30,A,13.0,40.760513419363,-73.985817299478,New York,2019,A,,
446,40374136,TONYS PIER RESTAURANT,1,City Island Avenue,Bronx,Seafood,Cycle Inspection / Re-inspection,2022-07-19,A,12.0,40.837658970329,-73.782920637128,Bronx,2022,A,,
448,40374192,ELIOS,1621,Second Avenue,Manhattan,Italian,Cycle Inspection / Re-inspection,2023-01-08,A,13.0,40.776704064109,-73.952606878844,New York,2023,A,,
457,40374415,OMEN JAPANESE CUISINE,113,Thompson Street,Manhattan,Japanese,Cycle Inspection / Re-inspection,2019-10-24,A,11.0,40.725823228456,-74.001850833128,New York,2019,A,,
459,40374834,CASA BELLA,127,Mulberry Street,Manhattan,Italian,Cycle Inspection / Re-inspection,2022-09-20,A,13.0,40.717995150669,-73.998037554562,New York,2022,A,,
463,40374974,CHEZ NAPOLEON,365,West 50 Street,Manhattan,French,Cycle Inspection / Re-inspection,2023-01-18,A,9.0,40.763203559325,-73.988271452718,New York,2023,A,,
468,40375286,LA VILLA DE PIZZA RESTAURANT,8207,153 Avenue,Queens,Pizza,Cycle Inspection / Re-inspection,2019-09-12,A,9.0,40.666089208129,-73.8519582509,Queens,2019,A,,
470,40375369,OZONE PIZZERIA,9615,Liberty Avenue,Queens,Pizza,Cycle Inspection / Re-inspection,2021-08-05,A,10.0,40.680681768141,-73.842638180373,Queens,2021,A,,
474,40375616,ARTUROS,1617,York Avenue,Manhattan,Italian,Cycle Inspection / Re-inspection,2022-03-10,A,10.0,40.775452968053,-73.947477164518,New York,2022,A,,
479,40375929,VILLA FIORITA,7720,18 Avenue,Brooklyn,Italian,Cycle Inspection / Re-inspection,2017-01-26,A,10.0,40.612046726678,-73.997345555177,Kings,2017,A,,
481,40376077,FONTANA FAMOUS PIZZA GYRO,20002,Northern Boulevard,Queens,Greek,Cycle Inspection / Re-inspection,2023-02-13,C,45.0,40.757715535717,-73.783109985737,Queens,2023,,,C
487,40376290,KINGS ARMS RESTAURANT,500,Forest Avenue,Staten Island,American,Cycle Inspection / Re-inspection,2022-08-12,A,13.0,40.630436247754,-74.106988972394,Richmond,2022,A,,
490,40376352,BLUE NOTE JAZZ,131,West 3 Street,Manhattan,American,Cycle Inspection / Re-inspection,2018-03-09,A,9.0,40.730763819064,-74.000793788682,New York,2018,A,,
492,40376496,MANHATTAN MONSTER,80,Grove Street,Manhattan,American,Cycle Inspection / Re-inspection,2022-12-28,A,12.0,40.733407004766,-74.002428368437,New York,2022,A,,
499,40376718,PJ BERNSTEIN DELI RESTAURANT,1215,Third Avenue,Manhattan,Sandwiches,Cycle Inspection / Re-inspection,2022-04-05,A,13.0,40.768613074623,-73.961403469724,New York,2022,A,,
505,40376735,PJ CARNEYS,906,7 Avenue,Manhattan,Irish,Cycle Inspection / Re-inspection,2019-08-26,A,8.0,40.765738551729,-73.979884899094,New York,2019,A,,
512,40376944,TOMOE SUSHI,172,Thompson Street,Manhattan,Japanese,Cycle Inspection / Re-inspection,2019-09-03,C,29.0,40.727711642194,-74.000256165478,New York,2019,,,C
518,40377243,JOHN JOE PIZZERIA RESTAURANT,749,Lydig Avenue,Bronx,Pizza,Cycle Inspection / Re-inspection,2022-06-08,C,73.0,40.854465546464,-73.865892004272,Bronx,2022,,,C
532,40377262,SUNSET PIZZERIA,645,Rossville Avenue,Staten Island,Pizza,Cycle Inspection / Re-inspection,2022-01-26,A,4.0,40.54235091781,-74.208236910242,Richmond,2022,A,,
534,40377294,MCDONALDS,7002,Cooper Avenue,Queens,Hamburgers,Cycle Inspection / Re-inspection,2022-08-25,A,8.0,40.701739099289,-73.880832224708,Queens,2022,A,,
535,40377325,JACKSON HOLE,521,Third Avenue,Manhattan,Hamburgers,Cycle Inspection / Re-inspection,2022-02-28,A,10.0,40.746222915383,-73.977739867544,New York,2022,A,,
538,40377385,NAPOLI PIZZA,16402,69 Avenue,Queens,Pizza,Cycle Inspection / Re-inspection,2022-03-04,A,10.0,40.733073440304,-73.804753501055,Queens,2022,A,,
540,40377506,VESUVIO RESTAURANT PIZZA,7303,3 Avenue,Brooklyn,Pizza,Cycle Inspection / Re-inspection,2023-02-27,C,34.0,40.63271448104,-74.027266057226,Kings,2023,,,C
552,40377560,HOT POT,22813,Merrick Boulevard,Queens,Caribbean,Cycle Inspection / Re-inspection,2023-01-17,A,13.0,40.676626506659,-73.741990586543,Queens,2023,A,,
555,40377630,JOHNS CAFE RESTAURANT,823,Second Avenue,Manhattan,American,Cycle Inspection / Re-inspection,2022-01-12,A,10.0,40.751027572144,-73.971339086977,New York,2022,A,,
557,40377789,CAFE LUXEMBOURG,200,West 70 Street,Manhattan,French,Cycle Inspection / Re-inspection,2019-04-05,A,11.0,40.777464653904,-73.98301540541,New York,2019,A,,
562,40378035,DUNKIN BASKIN ROBBINS,15367,Horace Harding Expressway,Queens,Donuts,Cycle Inspection / Re-inspection,2022-09-09,A,10.0,40.739396352692,-73.815741155917,Queens,2022,A,,
566,40378136,BROADWAY RESTAURANT,2664,Broadway,Manhattan,American,Cycle Inspection / Re-inspection,2022-02-01,B,20.0,40.7980337182,-73.969299779631,New York,2022,,B,
573,40378190,NARITA JAPANESE RESTAURANT,10708,70 Road,Queens,Japanese,Cycle Inspection / Re-inspection,2019-12-09,A,12.0,40.720981864901,-73.845612730765,Queens,2019,A,,
575,40378212,CUCHIFRITO,168,East 116 Street,Manhattan,Mexican,Cycle Inspection / Re-inspection,2022-06-02,A,10.0,40.798286090425,-73.940863923623,New York,2022,A,,
577,40378827,KOSHER HUT OF BROOKLYN,709,Kings Highway,Brooklyn,Jewish/Kosher,Cycle Inspection / Re-inspection,2020-02-18,A,4.0,40.606197891882,-73.96543762922,Kings,2020,A,,
578,40378874,TERRA BLUES,149,Bleeker Street,Manhattan,American,Cycle Inspection / Re-inspection,2018-01-23,A,7.0,40.728268828151,-73.999357776932,New York,2018,A,,
580,40379026,FLAMINGO,85-12,Roosevelt Avenue,Queens,Latin American,Cycle Inspection / Re-inspection,2019-11-07,B,15.0,40.747933648158,-73.880915291092,Queens,2019,,B,
584,40379149,MONTES,97,Macdougal Street,Manhattan,Italian,Cycle Inspection / Re-inspection,2022-03-01,B,17.0,40.72944358561,-74.00096335165,New York,2022,,B,
